"TOA5","TrailerWLEF","CR3000","8727","CR3000.Std.27","CPU:TRAILER_V1.CR3","26780","fastData"
"TIMESTAMP","RECORD","top_co2","top_h20","top_t","mid_co2","mid_h20","mid_t","bot_co2","bot_h20","bot_t","top_t2","mid_t2","bot_t2","top_p","mid_p","bot_p"
"TS","RN","volts","volts","C","volts","volts","C","volts","volts","C","C","C","C","kPa","kPa","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-01-13 19:47:41.2",0,-455.1,-781.1,-5.093,-283.1,-276.9,-3.396,-265.5,-293.5,-3.81,-53.41,-10.61,-20.85,13.3,-1.475,-8.18
"2014-01-13 19:47:41.3",1,-454.6,-785.4,-5.33,-320.2,-313.3,-3.744,-276,-317.6,-3.953,-53.53,-14.69,-21.75,11.95,-2.241,-8.21
"2014-01-13 19:47:41.4",2,-454.3,-789.4,-5.56,-355.9,-349.4,-4.09,-289.2,-342.3,-4.09,-53.65,-18.27,-22.52,10.51,-3.056,-8.27
"2014-01-13 19:47:41.5",3,-454.1,-793.2,-5.779,-390.5,-384.4,-4.443,-304.7,-367.6,-4.249,-53.77,-21.44,-23.21,8.96,-3.905,-8.38
"2014-01-13 19:47:41.6",4,-454,-797,-5.99,-424.1,-418.8,-4.791,-322.4,-393,-4.434,-53.87,-24.24,-23.81,7.348,-4.795,-8.55
"2014-01-13 19:47:41.7",5,-453.8,-800,-6.198,-456.8,-452.8,-5.143,-341.8,-418.8,-4.638,-53.98,-26.71,-24.38,5.675,-5.719,-8.77
"2014-01-13 19:47:41.8",6,-453.6,-804,-6.395,-488.6,-486.3,-5.497,-362.6,-445.1,-4.863,-54.09,-28.89,-24.94,3.958,-6.666,-9.01
"2014-01-13 19:47:41.9",7,-453.3,-807,-6.586,-519.1,-518.9,-5.85,-384.7,-471.4,-5.103,-54.22,-30.83,-25.54,2.215,-7.643,-9.31
"2014-01-13 19:47:42",8,-453.5,-811,-6.769,-549.1,-551.1,-6.202,-408.1,-498.2,-5.358,-54.35,-32.55,-26.13,0.445,-8.64,-9.65
"2014-01-13 19:47:42.1",9,-453.5,-814,-6.949,-578,-582.3,-6.554,-432.7,-525.2,-5.624,-54.49,-34.09,-26.72,-1.308,-9.66,-10.04
"2014-01-13 19:47:42.2",10,-453.3,-817,-7.12,-606,-613.1,-6.906,-457.6,-552.2,-5.902,-54.66,-35.46,-27.31,-3.069,-10.69,-10.46
"2014-01-13 19:47:42.3",11,-453.3,-820,-7.287,-633.4,-643.3,-7.257,-483.6,-579.6,-6.186,-54.84,-36.69,-27.9,-4.799,-11.75,-10.93
"2014-01-13 19:47:42.4",12,-453.1,-823,-7.448,-659.6,-672.8,-7.605,-510.2,-607,-6.478,-55.03,-37.8,-28.47,-6.512,-12.8,-11.43
"2014-01-13 19:47:42.5",13,-453.1,-825,-7.603,-685.2,-701.8,-7.951,-537.2,-634.5,-6.773,-55.24,-38.79,-29.02,-8.2,-13.87,-11.98
"2014-01-13 19:47:42.6",14,-453.3,-828,-7.752,-710.1,-730.2,-8.3,-564.8,-662.1,-7.071,-55.47,-39.68,-29.55,-9.84,-14.95,-12.54
"2014-01-13 19:47:42.7",15,-453.5,-831,-7.895,-734,-758.2,-8.64,-592.5,-689.9,-7.377,-55.72,-40.5,-30.07,-11.45,-16.03,-13.15
"2014-01-13 19:47:42.8",16,-453.6,-833,-8.03,-757,-785.4,-8.98,-620.7,-717.6,-7.683,-55.98,-41.23,-30.58,-13.03,-17.11,-13.78
"2014-01-13 19:47:42.9",17,-453.6,-836,-8.17,-779.8,-812,-9.32,-649,-745.5,-7.987,-56.27,-41.91,-31.08,-14.56,-18.19,-14.44
"2014-01-13 19:47:43",18,-453.8,-838,-8.3,-802,-838,-9.65,-677.6,-773.4,-8.3,-56.58,-42.52,-31.55,-16.05,-19.28,-15.12
"2014-01-13 19:47:43.1",19,-453.8,-840,-8.42,-823,-864,-9.98,-706.1,-801,-8.61,-56.9,-43.08,-32.03,-17.51,-20.35,-15.83
"2014-01-13 19:47:43.2",20,-453.8,-842,-8.54,-843,-889,-10.31,-734.8,-829,-8.92,-57.24,-43.61,-32.49,-18.93,-21.43,-16.55
"2014-01-13 19:47:43.3",21,-453.8,-844,-8.66,-863,-913,-10.64,-763.3,-856,-9.22,-57.61,-44.1,-32.94,-20.31,-22.51,-17.3
"2014-01-13 19:47:43.4",22,-453.8,-846,-8.77,-883,-937,-10.96,-791.8,-884,-9.53,-57.98,-44.55,-33.37,-21.65,-23.57,-18.06
